----------------------------------------------------------------------------------------------
Bean传感器AX 3DS

Mac Id : 00158D00000E09D4
网络ID : 0002
Pan Id : 3900
传感器ID : 0
传感器标签 : Ch_X

比率 : 1
偏移量 : 0
单位 : g

DATE_FORMAT : yyyy/M/d tt hh:mm:ss
日期 : 2020/2/1 上午 12:05:16

数据采集周期 : 304
数据采集持续时间 : 300
抽样率 : 400
截止频率 : 8
----------------------------------------------------------------------------------------------
测量目录;测量值
1054;0.9384
1055;0.9558
1056;1.0485
1057;0.8167
1058;0.8283
1059;1.1093
1060;0.8833
1061;1.0253
1062;1.1847
1063;0.9645
1064;0.9123
1065;0.9587
1066;0.9007
1067;0.8573
1068;1.0369
1069;0.95
1070;0.8428
1071;0.921
1072;1.0572
1073;0.9992
1074;0.9934
1075;0.8775
1076;0.8746
1077;0.9616
1078;1.1122
1079;1.1036
1080;0.9529
1081;0.7935
1082;0.8746
1083;0.979
1084;0.9934
1085;1.0746
1086;0.9645
1087;0.8457
1088;0.8718
1089;0.979
1090;1.1093
1091;0.9732
1092;0.8689
1093;0.8022
1094;0.9152
1095;0.9761
1096;0.9992
1097;0.9963
1098;0.95
1099;1.005
1100;1.0543
1101;1.0688
1102;0.9442
1103;0.9065
1104;0.9268
1105;0.8602
1106;1.0485
1107;1.0949
1108;1.0079
1109;0.9877
1110;0.9587
1111;1.0224
1112;1.0746
1113;0.9471
1114;0.9529
1115;0.8949
1116;0.8457
1117;1.0021
1118;1.005
1119;1.0543
1120;0.9963
1121;0.9268
1122;0.95
1123;0.9471
1124;0.9326
1125;0.921
1126;0.8746
1127;0.8602
1128;0.8804
1129;1.0311
1130;1.0311
1131;0.8515
1132;0.8399
1133;0.866
1134;0.9181
1135;0.8978
1136;0.8486
1137;0.9355
1138;0.8051
1139;0.9384
1140;0.979
1141;1.0224
1142;1.0891
1143;0.9877
1144;0.9181
1145;1.092
1146;1.0543
1147;1.0108
1148;1.0717
1149;0.9529
1150;0.9355
1151;1.0021
1152;1.0195
1153;1.034
1154;0.9905
1155;0.9616
1156;1.0398
1157;1.0804
1158;1.0427
1159;0.9239
1160;1.0021
1161;0.9442
1162;0.9674
1163;0.9877
