----------------------------------------------------------------------------------------------
Bean传感器AX 3DS

Mac Id : 00158D00000E09D4
网络ID : 0002
Pan Id : 3900
传感器ID : 1
传感器标签 : Ch_Y

比率 : 1
偏移量 : 0
单位 : g

DATE_FORMAT : yyyy/M/d tt hh:mm:ss
日期 : 2020/2/1 上午 12:10:20

数据采集周期 : 304
数据采集持续时间 : 300
抽样率 : 400
截止频率 : 8
----------------------------------------------------------------------------------------------
测量目录;测量值
571;-0.0951
572;0.0505
573;0.116
574;0.3541
575;0.0714
576;0.0059
577;-0.1309
578;0.1071
579;0.1279
580;0.1458
581;0.0267
582;-0.0892
583;-0.0237
584;0.1369
585;-0.0088
586;0.0178
587;-0.0535
588;0.0356
589;0.0327
590;0.0773
591;0.119
592;0.1339
593;0.122
594;0.1369
595;0.0029
596;0.0743
597;0.0773
598;0.0505
599;0.1398
600;0.0327
601;0.0952
602;-0.0594
603;-0.0267
604;0.1071
605;0.1071
606;0.1636
607;0.0001
608;-0.1011
609;-0.0445
610;0.0535
611;0.119
612;0.0863
613;0.0029
614;0.0476
615;0.0595
616;0.0714
617;0.0001
618;-0.0356
619;0.1696
620;0.0356
621;0.1785
622;0.1398
623;0.0565
624;0.1577
625;0.0714
626;0.0148
627;0.0505
628;0.119
629;0.1249
630;0.1458
631;-0.0118
632;-0.0118
633;0.0446
634;0.0476
635;-0.0118
636;-0.0088
637;0.0922
638;0.1517
639;0.1011
640;0.0356
641;-0.1011
642;0.0565
643;0.2351
644;-0.0029
645;-0.0267
646;0.0773
647;0.0624
648;0.0714
649;0.0208
650;0.0327
651;0.0654
652;0.0029
653;-0.0058
654;0.0505
655;-0.0118
656;-0.0654
657;0.0356
658;-0.0803
659;-0.1189
660;-0.0296
661;0.116
662;0.0118
663;0.0237
664;0.0356
665;0.2827
666;0.1428
667;-0.0058
668;0.0446
669;0.0535
670;0.2321
671;0.1547
672;-0.0177
673;0.1547
674;0.0029
675;0.0297
676;-0.0445
677;0.2053
678;0.0208
679;0.0922
680;0.0001
681;-0.0624
682;-0.0237
683;0.0089
684;0.0833
685;-0.0713
686;-0.0058
687;0.0178
688;0.0952
689;0.0952
690;0.0416
691;0.0952
692;0.0654
693;0.2589
694;0.1696
695;0.0624
696;0.113
697;0.0982
698;0.1636
699;0.1011
700;-0.116
701;0.1666
702;0.0356
703;0.0059
704;-0.0207
705;-0.0594
706;-0.0356
707;0.0178
708;-0.0267
709;-0.0445
710;0.0148
711;0.0624
712;0.0565
713;0.0001
714;0.0565
715;0.0982
716;0.0089
717;0.0535
718;-0.0177
719;0.1279
720;0.3393
721;0.1964
722;0.0624
723;0.0416
724;0.2857
725;0.2678
726;0.1101
727;0.0952
728;0.1636
729;0.0833
730;0.1815
731;0.1666
732;0.1904
733;-0.0118
734;-0.0386
735;0.1964
736;0.0356
737;0.0059
738;0.0029
739;0.0118
740;0.1101
741;-0.0237
742;0.0208
743;0.2262
744;-0.0118
745;0.1934
746;0.1339
747;0.119
748;0.0178
749;-0.0475
750;0.2946
751;0.1577
752;-0.0862
753;0.0743
754;0.0743
755;0.113
756;0.0237
757;0.1249
758;0.1369
759;0.0565
760;0.113
761;0.0922
762;0.122
763;0.0892
764;0.0297
765;0.0029
766;0.0952
767;0.0624
768;0.0118
769;0.0178
770;-0.0177
771;-0.0088
772;0.0327
773;0.0803
774;-0.0118
775;-0.0296
776;0.0982
777;0.1249
778;0.1011
779;-0.107
780;-0.0207
781;-0.0118
782;-0.0356
783;0.0029
784;0.0386
785;0.0029
786;0.0148
787;0.0922
788;0.1726
789;0.0952
790;0.1607
791;0.0505
792;0.1279
793;0.1458
794;0.1309
795;-0.0386
796;-0.0058
797;0.0446
798;0.0148
799;-0.0177
800;-0.0296
801;-0.0118
802;0.0118
803;0.0654
804;0.0952
805;0.1458
806;-0.0118
807;0.1369
808;0.119
809;0.0148
810;-0.0624
811;-0.0713
812;0.0089
813;0.0922
814;0.0297
815;0.2172
816;0.0327
817;0.0654
818;0.0446
819;0.0773
820;0.0327
821;-0.0118
822;0.0922
823;0.116
824;0.0327
825;0.1309
826;0.0118
827;-0.0475
828;0.0356
829;-0.0445
830;-0.0148
831;0.0952
832;-0.0058
833;-0.0594
834;0.0505
835;0.0624
836;0.0535
837;0.0001
838;0.0148
839;0.1607
840;0.0476
841;0.1101
842;0.1398
843;0.1666
844;0.0595
845;0.0327
846;0.1696
847;0.1071
848;0.113
849;-0.0267
850;0.1101
851;-0.116
852;0.0654
853;-0.0237
854;-0.0088
855;0.1458
856;0.0059
857;0.0892
858;0.0029
859;-0.0296
860;0.0059
861;0.0892
862;0.1517
863;0.1845
864;0.1071
865;0.1071
866;0.2321
867;0.1696
868;0.1875
869;0.1964
870;0.116
871;0.0982
872;0.0356
873;0.113
874;-0.0058
875;0.0208
876;-0.0743
877;-0.0922
878;0.0327
879;-0.0922
880;0.0982
881;-0.0356
882;-0.0296
883;0.0178
884;-0.0296
885;0.0297
886;-0.0594
887;-0.0356
888;0.0505
889;-0.0058
890;0.0684
891;0.1636
892;0.0952
893;0.1815
894;0.0208
895;0.0595
896;0.0654
897;0.0803
898;0.1101
899;0.0118
900;0.0386
901;0.0565
902;0.1309
903;0.0237
904;0.0059
905;0.0029
906;0.0446
907;-0.0326
908;0.0237
909;-0.0475
910;0.0178
911;0.1696
912;0.0237
913;0.1011
914;0.0892
915;0.0654
916;0.1369
917;0.1309
918;0.0982
919;-0.0535
920;0.0386
921;-0.0148
922;-0.0118
923;0.0001
924;-0.0148
925;0.0624
926;0.0356
927;-0.0177
928;0.0356
929;0.1666
930;0.0356
931;-0.0058
932;0.0624
933;0.0476
934;0.1636
935;0.0267
936;0.0446
937;0.0237
938;0.1458
939;0.122
940;0.1071
941;-0.0654
942;0.0148
943;0.1577
944;0.0029
945;0.2827
946;-0.116
947;-0.1189
948;0.0208
949;0.0982
950;0.113
951;-0.0832
952;0.0654
953;0.0267
954;0.0684
955;0.0833
956;0.0952
957;0.1101
958;-0.0237
959;0.116
960;-0.0594
961;0.1636
962;0.0356
963;-0.0296
964;0.0624
965;0.1101
966;0.1547
967;-0.11
968;0.0089
969;0.0356
970;0.1845
971;0.2172
972;-0.0029
973;-0.1398
974;0.0356
975;0.1904
976;0.1696
977;-0.0416
978;-0.1487
979;-0.2082
980;0.0237
981;0.2827
982;-0.0951
983;-0.0773
984;0.1309
985;0.0833
986;0.0922
987;0.0089
988;-0.0177
989;0.1726
990;0.0356
991;-0.107
992;-0.1636
993;0.0237
994;0.116
995;0.119
996;0.0535
997;-0.0922
998;0.0118
999;-0.0148
1000;0.0684
1001;0.0505
1002;0.0922
1003;0.0833
1004;0.0416
1005;-0.3214
1006;-0.0177
1007;0.0208
1008;0.0089
1009;0.0833
1010;-0.0683
1011;0.0565
1012;0.1934
1013;0.1041
1014;-0.0177
1015;0.0654
1016;0.1101
1017;0.0892
1018;-0.0386
1019;-0.1368
1020;-0.0683
1021;0.0863
1022;-0.0922
